nm,n,k
4012.841091,3.417553426,2.67E-06
4016.064257,3.417551892,2.67E-06
4019.292605,3.417550359,2.67E-06
4022.526146,3.417548827,2.67E-06
4025.764895,3.417547297,2.67E-06
4029.008864,3.417545767,2.67E-06
4032.258065,3.417544239,2.67E-06
4035.51251,3.417542712,2.67E-06
4038.772213,3.417541187,2.67E-06
4042.037187,3.417539662,2.67E-06
4045.307443,3.417538139,2.67E-06
4048.582996,3.417536617,2.67E-06
4051.863857,3.417535097,2.67E-06
4055.150041,3.417533578,2.67E-06
4058.441558,3.417532059,2.67E-06
4061.738424,3.417530543,2.67E-06
4065.04065,3.417529027,2.67E-06
4068.348251,3.417527513,2.67E-06
4071.661238,3.417526,2.67E-06
4074.979625,3.417524488,2.67E-06
4078.303426,3.417522977,2.67E-06
4081.632653,3.417521468,2.67E-06
4084.96732,3.41751996,2.67E-06
4088.307441,3.417518453,2.67E-06
4091.653028,3.417516947,2.67E-06
4095.004095,3.417515443,2.67E-06
4098.360656,3.41751394,2.67E-06
4101.722724,3.417512438,2.67E-06
4105.090312,3.417510938,2.67E-06
4108.463435,3.417509438,2.67E-06
4111.842105,3.41750794,2.67E-06
4115.226337,3.417506443,2.67E-06
4118.616145,3.417504948,2.67E-06
4122.011542,3.417503454,2.67E-06
4125.412541,3.417501961,2.67E-06
4128.819158,3.417500469,2.67E-06
4132.231405,3.417498978,2.67E-06
4135.649297,3.417497489,2.67E-06
4139.072848,3.417496001,2.67E-06
4142.502071,3.417494514,2.67E-06
4145.936982,3.417493028,2.67E-06
4149.377593,3.417491544,2.67E-06
4152.82392,3.417490061,2.67E-06
4156.275977,3.417488579,2.67E-06
4159.733777,3.417487099,2.67E-06
4163.197336,3.417485619,2.67E-06
4166.666667,3.417484141,2.67E-06
4170.141785,3.417482664,2.67E-06
4173.622705,3.417481189,2.67E-06
4177.10944,3.417479714,2.67E-06
4180.602007,3.417478241,2.67E-06
4184.100418,3.417476769,2.67E-06
4187.60469,3.417475299,2.67E-06
4191.114837,3.41747383,2.67E-06
4194.630872,3.417472361,2.67E-06
4198.152813,3.417470895,2.67E-06
4201.680672,3.417469429,2.67E-06
4205.214466,3.417467965,2.67E-06
4208.754209,3.417466502,2.67E-06
4212.299916,3.41746504,2.67E-06
4215.851602,3.417463579,2.67E-06
4219.409283,3.41746212,2.67E-06
4222.972973,3.417460662,2.67E-06
4226.542688,3.417459205,2.67E-06
4230.118443,3.417457749,2.67E-06
4233.700254,3.417456295,2.67E-06
4237.288136,3.417454842,2.67E-06
4240.882103,3.41745339,2.67E-06
4244.482173,3.417451939,2.67E-06
4248.08836,3.41745049,2.67E-06
4251.70068,3.417449042,2.67E-06
4255.319149,3.417447595,2.67E-06
4258.943782,3.417446149,2.67E-06
4262.574595,3.417444705,2.67E-06
4266.211604,3.417443262,2.67E-06
4269.854825,3.41744182,2.67E-06
4273.504274,3.417440379,2.67E-06
4277.159966,3.41743894,2.67E-06
4280.821918,3.417437502,2.67E-06
4284.490146,3.417436065,2.67E-06
4288.164666,3.417434629,2.67E-06
4291.845494,3.417433195,2.67E-06
4295.532646,3.417431762,2.67E-06
4299.226139,3.41743033,2.67E-06
4302.92599,3.417428899,2.67E-06
4306.632214,3.41742747,2.67E-06
4310.344828,3.417426042,2.67E-06
4314.063848,3.417424615,2.67E-06
4317.789292,3.417423189,2.67E-06
4321.521175,3.417421765,2.67E-06
4325.259516,3.417420342,2.67E-06
4329.004329,3.41741892,2.67E-06
4332.755633,3.417417499,2.67E-06
4336.513443,3.41741608,2.67E-06
4340.277778,3.417414661,2.67E-06
4344.048653,3.417413244,2.67E-06
4347.826087,3.417411829,2.67E-06
4351.610096,3.417410414,2.67E-06
4355.400697,3.417409001,2.67E-06
4359.197908,3.417407589,2.67E-06
